ratio,np,label,angle
1.26874376527307,10,Buixol,89
1.30881692005506,6,Buixol,83
1.30975903050666,6,Buixol,235
1.42742065985072,6,Buixol,228
1.28937883225408,9,Crocus,294
1.53676283615218,8,Crocus,91
1.49581187044313,7,Crocus,302
1.97088986059765,3,Crocus,96
2.11106826082973,3,Crocus,241
1.32375709725879,4,Crocus,271
2.33316729106528,4,Crocus,72
1.45379100904027,6,Crocus,259
1.96557424630481,4,Crocus,290
2.27104398279564,3,Crocus,306
1.58924187393798,4,Crocus,273
1.75202784428992,6,Crocus,295
1.36507048441309,8,Crocus,307
1.60228204131002,7,Crocus,200
1.80184686625694,4,Crocus,276
2.21569137983223,5,Crocus,227
1.42709516148485,3,Crocus,293
1.37668430125299,6,Crocus,300
1.45410545725882,4,Crocus,305
2.32892997706451,4,Crocus,62
1.42342389442803,8,Crocus,271
1.94015240456621,5,Crocus,282
2.16552137344509,3,Crocus,280
2.0063738109659,4,Crocus,229
1.56004706075468,6,Crocus,323
1.85555258144086,4,Crocus,310
2.39127973370662,4,Crocus,298
1.71738153891313,4,Crocus,224
2.4191828016192,4,Crocus,319
2.13050434248637,5,Crocus,298
2.530831776855,4,Crocus,283
2.0169394734361,4,Crocus,304
1.63157577018753,5,Crocus,31
1.66572579482565,8,Crocus,337
1.5779881864361,4,Crocus,275
1.76840674496999,4,Crocus,284
1.85563966077304,3,Crocus,267
1.41760393831117,6,Crocus,314
1.27341021600417,12,DentdeLleo,78
1.10503734465851,11,DentdeLleo,70
2.05363669405944,4,DentdeLleo,78
1.10985224486141,13,DentdeLleo,72
1.80330940201443,4,DentdeLleo,71
1.71935715083402,4,DentdeLleo,77
1.19643502720489,14,DentdeLleo,80
1.1837395090556,9,DentdeLleo,74
2.01170225727668,5,DentdeLleo,80
1.47533772289242,6,DentdeLleo,78
1.23590796214741,10,DentdeLleo,80
1.99172080468961,3,DentdeLleo,74
1.10302840307124,14,DentdeLleo,74
1.25901162414012,11,DentdeLleo,71
1.1751996598318,12,DentdeLleo,78
1.11894431968605,13,DentdeLleo,74
1.90381166764308,5,DentdeLleo,66
1.33526716091336,7,DentdeLleo,59
1.3755574860095,6,DentdeLleo,70
1.25222732834373,9,DentdeLleo,76
1.48311913948112,8,DentdeLleo,77
1.25521979636847,8,DentdeLleo,66
1.15196456312129,13,DentdeLleo,80
1.15712629532106,13,DentdeLleo,76
1.14416066845316,12,DentdeLleo,77
1.2723217023996,12,DentdeLleo,75
1.31063000697561,9,DentdeLleo,69
1.19227138172305,11,DentdeLleo,79
1.15224733306501,13,DentdeLleo,76
1.14145954669793,11,DentdeLleo,70
1.22342668394666,12,DentdeLleo,70
2.05262537409644,5,DentdeLleo,76
1.12672014062276,14,DentdeLleo,74
1.43944150302585,10,DentdeLleo,73
1.30771860713155,10,DentdeLleo,73
1.19647391608775,14,DentdeLleo,75
1.14920824166646,14,DentdeLleo,91
1.13676541744595,9,DentdeLleo,65
1.47173157163583,6,DentdeLleo,80
1.87947860260357,5,DentdeLleo,83
1.11170936580357,11,DentdeLleo,70
2.65976815426884,4,Fadrins,73
4.10539833302337,4,Fadrins,68
1.5464949829314,4,Fadrins,299
2.36334021430857,4,Fadrins,108
2.16422726396272,4,Fadrins,81
2.37725381722939,5,Fadrins,21
1.91346854272465,5,Fadrins,227
1.83468046059816,5,Fadrins,47
2.58567778810858,3,Fadrins,93
2.13927317362117,4,Fadrins,87
1.93182345759691,5,Fadrins,227
2.30431026424634,4,Fadrins,94
2.56450807318273,3,Fadrins,21
2.16981132884528,4,Fadrins,107
2.63608603425127,4,Fadrins,233
2.01948492817502,7,Fadrins,227
1.96621572530863,4,Fadrins,152
2.63788638364807,4,Fadrins,94
3.04054884223496,5,Fadrins,87
2.43374081712042,4,Fadrins,243
1.85048288361423,6,Fadrins,86
3.15708689114939,3,Fadrins,183
2.04917436694295,4,Fadrins,271
1.78315722656904,4,Fadrins,223
1.98923394103672,3,Fadrins,262
2.06039593660369,4,Fadrins,80
2.0765006537244,4,Fadrins,220
2.22884102662934,4,Fadrins,102
1.97094439395788,7,Fadrins,89
2.06365647939354,4,Fadrins,42
2.5119844445836,5,Fadrins,45
2.49854450692076,3,Fadrins,69
1.76262173167387,4,Fadrins,91
2.06340123776704,3,Fadrins,103
2.28281290820434,2,Fadrins,104
1.77552733506774,4,Fadrins,82
1.76893309370836,5,Fadrins,92
2.71681716283436,4,Fadrins,217
1.78016967140986,3,Fritillaria,343
1.34957704130367,5,Fritillaria,331
1.47267530527208,6,Fritillaria,360
1.65372566508471,6,Fritillaria,31
1.51177473388353,6,Fritillaria,360
2.10508354160693,2,Fritillaria,360
1.75648956105783,7,Fritillaria,360
1.8026002725383,5,Fritillaria,360
1.48134366341941,4,Fritillaria,357
1.4106161710897,7,Fritillaria,360
1.42368731577557,7,Fritillaria,86
1.65740567164239,5,Fritillaria,359
1.64228441136837,5,Fritillaria,333
1.56371575475934,3,Fritillaria,360
1.61379762321134,5,Fritillaria,360
1.64741195336703,4,Fritillaria,355
1.30890786312021,8,Fritillaria,360
1.40536921129705,7,Fritillaria,26
1.38368167506961,8,Fritillaria,360
1.79215531821545,5,Fritillaria,343
1.63768049526909,5,Fritillaria,360
1.506070090722,5,Fritillaria,342
1.35937609141629,6,Fritillaria,342
1.65140089525179,5,Fritillaria,350
1.39367640875466,4,Fritillaria,354
1.61641096519379,6,Fritillaria,360
1.784980000863,7,Fritillaria,360
1.56634057227181,9,Fritillaria,317
1.36424366567205,5,Fritillaria,332
2.55941676692937,3,Fritillaria,360
1.29343734412091,8,Fritillaria,340
1.73318038541077,4,Fritillaria,82
1.64638565553295,5,Fritillaria,332
1.62230369835209,7,Fritillaria,360
1.64737149684376,5,Fritillaria,355
1.39827491689829,4,Fritillaria,81
1.38977550562515,9,Fritillaria,360
1.42795723544438,8,Fritillaria,89
1.39580559933623,6,Fritillaria,27
1.57887734433848,7,Fritillaria,360
1.3866634743486,8,Fritillaria,360
1.55374542355951,4,Fritillaria,80
1.64688632014917,5,Fritillaria,72
1.64103655526699,4,Fritillaria,360
1.31027038909565,7,Fritillaria,25
1.54316395635419,5,Fritillaria,64
1.8847244549536,5,Fritillaria,344
1.49667201884144,5,Fritillaria,343
1.36276816508343,6,Fritillaria,342
1.38639296800475,6,Fritillaria,360
1.11289910554544,15,Gerbera,47
1.33586741842976,10,Gerbera,81
1.25256187461041,10,Gerbera,272
1.40004916617037,6,Gerbera,62
1.53259596393755,6,Gerbera,285
1.13658168585486,11,Gerbera,73
1.44045906422553,10,Gerbera,301
1.22656170086878,10,Gerbera,217
1.32781377601259,8,Gerbera,280
1.12436526408586,10,Gerbera,360
1.63584139830403,9,Gerbera,68
1.12556529371046,13,Gerbera,290
1.11289877167963,12,Gerbera,225
1.1420916236366,12,Gerbera,243
2.23468895549985,4,Gerbera,57
1.37623683991608,8,Gerbera,74
1.1806165776059,10,Gerbera,186
1.3342919665726,8,Gerbera,196
2.10907378478167,4,Gerbera,57
1.2592055027791,8,Gerbera,220
1.18708730213583,13,Gerbera,21
1.43678512465476,6,Gerbera,60
1.21588238956644,11,Gerbera,164
1.15561039150926,12,Gerbera,64
1.32728549305925,9,Gerbera,69
1.29173323110656,10,Gerbera,234
1.21453767760168,12,Gerbera,21
1.33009192157756,9,Gerbera,54
1.12424055472569,11,Gerbera,49
1.30879287976887,12,Gerbera,228
1.15110117622146,10,Gerbera,255
1.14576894429881,10,Gerbera,80
1.30482196317653,11,Gerbera,72
1.24564360296645,10,Gerbera,121
1.14379261800938,13,Gerbera,271
1.09814415265649,18,Gerbera,91
1.15583646590651,12,Gerbera,216
1.11958059291992,13,Gerbera,73
1.34403930418456,10,Gerbera,78
1.33497358449599,10,Gerbera,81
1.11059893433151,12,Gerbera,225
1.38568906965611,8,Gerbera,69
1.13007834584955,11,Girasol,75
1.31622776849835,8,Girasol,73
1.15267081336096,9,Girasol,74
1.25209380145413,9,Girasol,62
1.2071655274811,10,Girasol,71
1.42604773860653,8,Girasol,74
1.31363545344913,8,Girasol,65
1.18491315051899,9,Girasol,71
1.12365430846782,14,Girasol,58
1.13400601797462,11,Girasol,64
1.25539265279046,9,Girasol,69
1.24978900978426,9,Girasol,71
1.23784458780192,11,Girasol,53
1.24785173770978,9,Girasol,61
1.12601177374037,12,Girasol,67
1.37681010848713,8,Girasol,65
1.15948556697571,12,Girasol,72
1.15556729897876,9,Girasol,67
1.18576376770467,10,Girasol,60
1.2777673082082,8,Girasol,70
1.21963718242125,9,Girasol,65
1.24063706366031,10,Girasol,77
1.4458814169276,7,Girasol,73
1.19691184693831,10,Girasol,75
1.15831038831268,12,Girasol,72
1.2069278204873,10,Girasol,77
1.20105069019519,10,Girasol,68
1.24320646878852,8,Girasol,68
1.16403241299268,10,Girasol,71
1.15399376027473,11,Girasol,59
1.26904353059289,9,Girasol,72
1.11217112180827,13,Girasol,56
1.1688130864678,10,Girasol,66
1.27794751132598,8,Girasol,65
1.13368360723303,13,Girasol,57
1.38134705496524,9,Girasol,61
1.22313648629347,10,Girasol,68
1.12471571204982,15,Girasol,81
1.12973465555743,11,Girasol,69
1.20551105637444,11,Girasol,72
1.30777992265748,8,Girasol,75
1.20426955212289,12,Girasol,78
1.22318995107617,12,Girasol,72
1.5685161486409,8,Girasol,69
1.42053580548555,9,Girasol,70
1.30209845393134,7,Girasol,74
1.2781855943009,7,Girasol,69
1.96880412517964,6,Girasol,63
1.5072561185382,6,Girasol,59
2.07656395846395,7,Girasol,63
1.21799500927511,9,Girasol,70
1.2411732562377,8,Girasol,68
1.29587260517297,11,Girasol,72
1.58619192961116,5,Girasol,72
1.9420216910616,3,Hemerocallis,27
3.1311359930511,2,Hemerocallis,39
1.62533590327886,5,Hemerocallis,37
1.74714010776217,3,Hemerocallis,51
1.81861399216424,4,Hemerocallis,32
1.68241601301865,3,Hemerocallis,46
1.61248788614403,7,Hemerocallis,41
1.68480746411669,5,Hemerocallis,72
2.33039301958299,3,Hemerocallis,46
1.98115472608551,5,Hemerocallis,32
1.61387822823926,3,Hemerocallis,31
2.04727206114862,4,Hemerocallis,49
1.3787156598952,6,Hemerocallis,40
1.54906370455077,3,Hemerocallis,40
1.43128787515625,6,Hemerocallis,40
1.3487082709403,7,Hemerocallis,40
1.22922391112658,8,Hemerocallis,39
1.73649325867633,4,Hemerocallis,52
1.24704991959805,9,Hemerocallis,35
1.4541302685747,7,Hemerocallis,55
1.5670131026922,3,Hemerocallis,74
2.01380411664312,4,Hemerocallis,58
2.55848508102219,4,Hemerocallis,37
2.12075069473434,2,Hemerocallis,37
2.07773432741411,3,Hemerocallis,53
2.43622838453668,3,Hemerocallis,73
1.46164593447086,7,Hemerocallis,48
1.49799315513812,9,Hemerocallis,33
1.5255400996278,6,Hemerocallis,42
2.13427573884044,3,Hemerocallis,41
1.9774605936046,5,Hemerocallis,50
2.36316175622787,5,Hemerocallis,34
1.2243095727518,9,Hemerocallis,29
2.03219463313412,4,Hemerocallis,52
1.78490380852278,4,Hemerocallis,36
1.43230356651455,5,Hemerocallis,34
2.02514291141222,2,Hemerocallis,31
1.81926710107969,4,Lliri,243
1.5178812320009,5,Lliri,28
1.3608029451524,8,Lliri,110
1.41731863041555,6,Lliri,276
1.62945369919145,4,Lliri,72
1.40762704493312,5,Lliri,229
1.38161150680066,8,Lliri,300
1.32474806245931,7,Lliri,81
1.87671896436408,5,Lliri,313
1.26153792753398,8,Lliri,272
1.374038627051,7,Lliri,69
1.3775473687099,7,Lliri,273
1.4961043882433,4,Lliri,271
1.55757096308647,8,Lliri,360
1.47547939412042,5,Lliri,85
1.2090714730932,9,Lliri,272
1.42398907439374,8,Lliri,292
1.62954838786238,7,Lliri,272
1.42843223954007,5,Lliri,70
1.51813804249203,6,Lliri,56
1.86495974979467,4,Lliri,75
1.47721327321333,5,Lliri,91
1.51249320598921,5,Lliri,69
1.27667263709041,6,Lliri,258
1.4951889526811,6,Lliri,245
1.71612037818457,7,Lliri,53
1.38015867496203,7,Lliri,71
1.8725442541674,4,Lliri,292
1.3490286107792,4,Lliri,272
1.44808213230738,6,Lliri,82
1.57737527685611,5,Lliri,290
1.33928231106208,6,Lliri,70
1.40088520549305,4,Lliri,220
1.41539552675187,6,Lliri,309
1.40213561690148,6,Lliri,305
1.30562899451056,7,Lliri,48
1.62035296397495,5,Lliri,360
1.38334476779978,6,Lliri,352
1.34691855582343,7,Lliri,214
1.70713582851399,5,Lliri,253
1.47243287857309,7,Lliri,63
1.47304107970358,9,Lliri,285
1.27803568601526,6,Lliri,258
2.01585292046282,6,Lliri,266
1.61341380276793,5,Lliri,320
1.7452619873365,6,Lliri,272
1.8318140437934,4,Lliri,75
1.59452325177493,6,Lliri,57
1.80727434911661,5,Lliri,71
1.30845914933166,6,Lliri,279
2.03811993288837,4,Lliri,70
1.56152422568541,9,Lliri,275
1.36724991236739,7,Lliri,214
1.60945632815121,6,Lliri,70
1.25851283605295,8,Lliri,272
1.49690628706389,5,Lliri,271
1.56693930977097,6,Lliri,21
1.66964103591679,4,Lliri,44
1.37347699807363,8,Lliri,71
1.34903655886036,4,Lliri,272
1.76231936027033,5,Narcis,73
1.25666277049796,6,Narcis,73
1.56642756761778,5,Narcis,78
1.33353444645813,6,Narcis,79
1.47916030979581,5,Narcis,71
1.27442528946717,6,Narcis,70
1.28823502150789,6,Narcis,72
1.60851156589349,6,Narcis,77
1.25950917738982,6,Narcis,76
1.78351091158388,6,Narcis,74
1.58316628517092,6,Narcis,68
1.35421855885012,7,Narcis,81
1.82591063786712,5,Narcis,75
1.20102842098656,6,Narcis,69
1.64157745023698,7,Narcis,76
1.72677346211083,6,Narcis,74
1.27122382861576,6,Narcis,70
1.39455007609187,7,Narcis,83
1.54163047041507,6,Narcis,73
1.53719305860058,6,Narcis,70
1.22625667543859,5,Narcis,73
1.66976719469068,5,Narcis,73
1.3917378689967,6,Narcis,72
1.30441958096864,7,Narcis,74
1.28572456033813,6,Narcis,68
1.33917828261324,6,Narcis,77
1.23689588305631,6,Narcis,73
1.58685607033004,6,Narcis,75
1.40418553569027,6,Narcis,72
1.56155303312033,6,Narcis,76
1.41687001413217,6,Narcis,89
1.9236372520272,5,Narcis,70
1.53933318208642,7,Narcis,73
1.27835943606387,6,Narcis,69
1.72564385143368,5,Narcis,69
1.70921506465965,6,Narcis,77
1.48761551227649,6,Narcis,78
1.25052145582636,6,Narcis,75
1.72178444073735,6,Narcis,72
1.28157321913168,6,Narcis,78
1.27995807188289,7,Narcis,74
1.65445121264085,5,Narcis,107
1.84199384759617,4,Narcis,80
1.51821398577219,7,Narcis,73
2.36937986001131,3,Narcis,69
1.22247914445399,6,Narcis,69
1.35153763707454,6,Narcis,77
1.68920491050127,5,Narcis,74
1.36324445561404,6,Narcis,75
1.811316330089,4,Narcis,81
1.85805776005775,6,Narcis,81
1.87559924086938,5,Narcis,73
1.41671830659855,6,Narcis,72
1.86159300791997,7,Narcis,75
1.3768165757326,5,Viola,297
1.40097204141372,6,Viola,277
1.45732166699524,5,Viola,83
1.44256624357353,6,Viola,70
1.45622082417934,6,Viola,282
1.58374067783686,5,Viola,76
1.99811756258881,3,Viola,74
1.80514353894139,4,Viola,297
1.42834250420395,5,Viola,73
1.37294912395907,6,Viola,73
1.45378085310353,7,Viola,332
1.38460100702391,5,Viola,75
1.47730903988549,5,Viola,296
1.58352372517687,5,Viola,287
1.39931910290937,5,Viola,311
1.43959161728289,6,Viola,73
2.11989789714705,3,Viola,286
1.68206493436952,5,Viola,289
1.65884092406272,3,Viola,314
1.63642857011484,5,Viola,290
1.42905292437206,6,Viola,286
1.50446414872968,7,Viola,311
1.85858432402258,5,Viola,84
1.66317764149165,6,Viola,76
1.34363571071328,6,Viola,75
1.49361636060265,6,Viola,288
1.60749354558719,3,Viola,293
1.52017136027131,8,Viola,285
1.5293763199354,6,Viola,291
1.48658910889911,5,Viola,281
1.48683210131879,6,Viola,109
1.29660590962069,7,Viola,280
1.46594966846398,4,Viola,88
1.66503892530659,2,Viola,90
1.42568332308437,7,Viola,277
1.52342329088554,6,Viola,291
1.55946424298033,5,Viola,321
1.42890248818948,3,Viola,303
1.41294400342039,6,Viola,73
1.65466041437227,6,Viola,77
1.34805054502741,6,Viola,328
1.61843397464893,4,Viola,293
